|note,time,duration|
74,120,115
74,240,115
72,480,115
71,720,640
62,1440,235
64,1680,115
65,1800,115
67,1920,115
69,2040,355
62,2400,355
69,2760,235
67,3000,115
72,3120,835
74,3960,115
74,4080,115
72,4320,115
71,4560,640
62,5280,235
64,5520,115
65,5640,115
67,5760,115
69,5880,355
62,6240,355
69,6600,235
67,6840,115
60,6960,835
74,8040,80
81,8400,80
80,8760,80
81,8880,80
80,9000,80
77,9120,80
77,9960,80
74,10080,80
65,10440,80
62,10560,80
77,10800,80
74,10920,80
77,11040,80
74,11160,80
77,11280,80
74,11400,80
77,11520,80
74,11880,80
81,12240,80
80,12600,80
81,12720,80
80,12840,80
77,12960,80
77,13800,115
74,13920,115
65,14280,115
62,14400,115
77,14640,115
74,14760,115
77,14880,115
74,15000,115
77,15120,115
74,15240,115
77,15360,115
73,15480,355
76,15840,355
82,16200,115
81,16440,355
77,16800,355
74,17160,115
73,17400,355
76,17760,355
82,18120,115
81,18360,355
74,18720,115
73,19320,355
76,19680,355
82,20040,115
81,20280,355
77,20640,355
74,21000,115
76,21240,355
79,21600,355
82,21960,115
81,22200,355
83,22560,355
85,22920,115
86,23160,115
86,23280,115
74,23400,115
74,23520,1555
58,25080,115
58,25320,115
62,25560,115
65,25680,355
60,26040,115
60,26280,115
64,26520,115
67,26640,355
86,27000,115
86,27120,115
74,27240,115
74,27360,1555
58,28920,115
58,29160,115
62,29400,115
65,29520,355
60,29880,115
45,30360,115
48,30480,235
74,30840,115
74,30960,115
72,31200,115
71,31440,640
62,32160,235
64,32400,115
65,32520,115
67,32640,115
69,32760,355
62,33120,355
69,33480,235
67,33720,115
72,33840,835
74,34680,115
74,34800,115
72,35040,115
71,35280,640
62,36000,235
64,36240,115
65,36360,115
67,36480,115
69,36600,355
62,36960,355
69,37320,235
67,37560,115
60,37680,835
74,38760,80
81,39120,80
80,39480,80
81,39600,80
80,39720,80
77,39840,80
77,40680,80
74,40800,80
65,41160,80
62,41280,80
77,41520,80
74,41640,80
77,41760,80
74,41880,80
77,42000,80
74,42120,80
77,42240,80
74,42600,80
81,42960,80
80,43320,80
81,43440,80
80,43560,80
77,43680,80
77,44520,115
74,44640,115
65,45000,115
62,45120,115
77,45360,115
74,45480,115
77,45600,115
74,45720,115
77,45840,115
74,45960,115
77,46080,115
73,46200,355
76,46560,355
82,46920,115
81,47160,355
77,47520,355
74,47880,115
73,48120,355
76,48480,355
82,48840,115
81,49080,355
74,49440,115
73,50040,355
76,50400,355
82,50760,115
81,51000,355
77,51360,355
74,51720,115
76,51960,355
79,52320,355
82,52680,115
81,52920,355
83,53280,355
85,53640,115
86,53880,115
86,54000,115
74,54120,115
74,54240,1555
58,55800,115
58,56040,115
62,56280,115
65,56400,355
60,56760,115
60,57000,115
64,57240,115
67,57360,355
86,57720,115
86,57840,115
74,57960,115
74,58080,1555
58,59640,115
58,59880,115
62,60120,115
65,60240,355
60,60600,115
45,61080,115
48,61200,235
74,61560,115
74,61680,115
72,61920,115
71,62160,640
62,62880,235
64,63120,115
65,63240,115
67,63360,115
69,63480,355
62,63840,355
69,64200,235
67,64440,115
72,64560,835
74,65400,115
74,65520,115
72,65760,115
71,66000,640
62,66720,235
64,66960,115
65,67080,115
67,67200,115
69,67320,355
62,67680,355
69,68040,235
67,68280,115
60,68400,835
74,69480,80
81,69840,80
80,70200,80
81,70320,80
80,70440,80
77,70560,80
77,71400,80
74,71520,80
65,71880,80
62,72000,80
77,72240,80
74,72360,80
77,72480,80
74,72600,80
77,72720,80
74,72840,80
77,72960,80
74,73320,80
81,73680,80
80,74040,80
81,74160,80
80,74280,80
77,74400,80
77,75240,115
74,75360,115
65,75720,115
62,75840,115
77,76080,115
74,76200,115
77,76320,115
74,76440,115
77,76560,115
74,76680,115
77,76800,115
73,76920,355
76,77280,355
82,77640,115
81,77880,355
77,78240,355
74,78600,115
73,78840,355
76,79200,355
82,79560,115
81,79800,355
74,80160,115
73,80760,355
76,81120,355
82,81480,115
81,81720,355
77,82080,355
74,82440,115
76,82680,355
79,83040,355
82,83400,115
81,83640,355
83,84000,355
85,84360,115
86,84600,115
86,84720,115
74,84840,115
74,84960,1555
58,86520,115
58,86760,115
62,87000,115
65,87120,355
60,87480,115
60,87720,115
64,87960,115
67,88080,355
86,88440,115
86,88560,115
74,88680,115
74,88800,1555
58,90360,115
58,90600,115
62,90840,115
65,90960,355
60,91320,115
45,91800,115
48,91920,235
